country,Canada
1800,0.00568
1801,0.00561
1802,0.00555
1803,0.00548
1804,0.00542
1805,0.00536
1806,0.00529
1807,0.00523
1808,0.00517
1809,0.00511
1810,0.00504
1811,0.00497
1812,0.0049
1813,0.00483
1814,0.00475
1815,0.00466
1816,0.00457
1817,0.00447
1818,0.00438
1819,0.00427
1820,0.00417
1821,0.00406
1822,0.00395
1823,0.00384
1824,0.00373
1825,0.00362
1826,0.0035
1827,0.00339
1828,0.00327
1829,0.00316
1830,0.00305
1831,0.00294
1832,0.00283
1833,0.00273
1834,0.00263
1835,0.00253
1836,0.00244
1837,0.00235
1838,0.00227
1839,0.00218
1840,0.0021
1841,0.00202
1842,0.00195
1843,0.00188
1844,0.00181
1845,0.00175
1846,0.0118
1847,0.0147
1848,0.0174
1849,0.0198
1850,0.0236
1851,0.0271
1852,0.0318
1853,0.0376
1854,0.0445
1855,0.0522
1856,0.0608
1857,0.0715
1858,0.0853
1859,0.0996
1860,0.118
1861,0.139
1862,0.167
1863,0.206
1864,0.242
1865,0.288
1866,0.346
1867,0.436
1868,0.255
1869,0.182
1870,0.321
1871,0.461
1872,0.471
1873,0.406
1874,0.404
1875,0.461
1876,0.45
1877,0.484
1878,0.456
1879,0.508
1880,1.2
1881,1.27
1882,1.48
1883,1.64
1884,1.87
1885,1.78
1886,1.87
1887,2.14
1888,2.77
1889,2.33
1890,2.53
1891,2.81
1892,2.78
1893,2.94
1894,2.78
1895,2.62
1896,2.81
1897,2.8
1898,2.94
1899,3.53
1900,3.73
1901,4.24
1902,4.49
1903,4.78
1904,5.5
1905,5.72
1906,5.87
1907,7.18
1908,7.02
1909,6.51
1910,7.2
1911,8.18
1912,8.86
1913,10.1
1914,8.53
1915,7.51
1916,9.33
1917,10.3
1918,10.7
1919,8.91
1920,9.64
1921,8.98
1922,7.6
1923,10.1
1924,8.27
1925,7.91
1926,8.75
1927,9.32
1928,9.32
1929,9.66
1930,9.04
1931,7.15
1932,6.53
1933,6.39
1934,7.28
1935,7.11
1936,7.7
1937,8.27
1938,7.5
1939,8.25
1940,9.33
1941,10.2
1942,11
1943,11.4
1944,11.5
1945,10.5
1946,11
1947,11.2
1948,12.1
1949,10.8
1950,11.2
1951,11.5
1952,11
1953,10.8
1954,10.7
1955,10.8
1956,11.7
1957,11
1958,10.7
1959,10.5
1960,10.8
1961,10.6
1962,11.1
1963,11.1
1964,12.3
1965,12.8
1966,12.9
1967,13.8
1968,14.6
1969,14.6
1970,15.9
1971,16.2
1972,17.2
1973,17
1974,17.1
1975,17.2
1976,17
1977,17.2
1978,17.3
1979,18.2
1980,18.1
1981,17.3
1982,16.6
1983,16.2
1984,16.6
1985,16.3
1986,15.5
1987,16.2
1988,16.9
1989,17
1990,15.7
1991,15.2
1992,15.5
1993,15.5
1994,15.7
1995,15.9
1996,16.2
1997,16.6
1998,16.8
1999,16.9
2000,17.4
2001,17
2002,16.6
2003,17.5
2004,17.3
2005,17.3
2006,16.7
2007,16.8
2008,16.8
2009,15.9
2010,15.6
2011,15.6
2012,14.8
2013,14.7
2014,15.1
