datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
15,0,1,15,15-Jan-0000 00:00:00,278.36643883702,279.045658780349,277.687218893691
46,0,2,15,15-Feb-0000 00:00:00,278.713058010423,279.665398244509,277.760717776336
75,0,3,15,15-Mar-0000 00:00:00,279.013835279965,280.266778934527,277.760891625404
106,0,4,15,15-Apr-0000 00:00:00,279.209613348565,280.756607013125,277.662619684006
136,0,5,15,15-May-0000 00:00:00,279.106444207592,280.613494034269,277.599394380916
167,0,6,15,15-Jun-0000 00:00:00,278.325599529745,279.051002104382,277.600196955108
197,0,7,15,15-Jul-0000 00:00:00,276.637022486192,275.720930092582,277.553114879802
228,0,8,15,15-Aug-0000 00:00:00,274.98579282131,272.611740627628,277.359845014992
259,0,9,15,15-Sep-0000 00:00:00,274.898510607813,272.662073350643,277.134947864983
289,0,10,15,15-Oct-0000 00:00:00,275.889830222667,274.725710029604,277.05395041573
320,0,11,15,15-Nov-0000 00:00:00,276.851702631043,276.562272881883,277.141132380204
350,0,12,15,15-Dec-0000 00:00:00,277.450152017665,277.766333906501,277.133970128829
381,1,1,15,15-Jan-0001 00:00:00,277.876675965034,278.555895908363,277.197456021705
412,1,2,15,15-Feb-0001 00:00:00,278.231602305734,279.18394253982,277.279262071647
440,1,3,15,15-Mar-0001 00:00:00,278.55117896007,279.804122614632,277.298235305509
471,1,4,15,15-Apr-0001 00:00:00,278.774667521677,280.321661186237,277.227673857118
501,1,5,15,15-May-0001 00:00:00,278.706536577698,280.213586404375,277.199486751022
532,1,6,15,15-Jun-0001 00:00:00,277.966474396602,278.691876971239,277.241071821965
562,1,7,15,15-Jul-0001 00:00:00,276.322840745327,275.406748351717,277.238933138937
593,1,8,15,15-Aug-0001 00:00:00,274.719131964024,272.345079770342,277.093184157706
624,1,9,15,15-Sep-0001 00:00:00,274.680364721177,272.443927464007,276.916801978347
654,1,10,15,15-Oct-0001 00:00:00,275.719609989525,274.555489796462,276.883730182588
685,1,11,15,15-Nov-0001 00:00:00,276.727235330008,276.437805580848,277.016665079169
715,1,12,15,15-Dec-0001 00:00:00,277.367681523124,277.683863411959,277.051499634288
746,2,1,15,15-Jan-0002 00:00:00,277.830862747143,278.510082690472,277.151642803814
777,2,2,15,15-Feb-0002 00:00:00,278.215698947627,279.168039181713,277.26335871354
805,2,3,15,15-Mar-0002 00:00:00,278.558433522793,279.811377177355,277.305489868232
836,2,4,15,15-Apr-0002 00:00:00,278.799005782756,280.345999447316,277.252012118196
866,2,5,15,15-May-0002 00:00:00,278.74256707593,280.249616902607,277.235517249254
897,2,6,15,15-Jun-0002 00:00:00,278.009488432056,278.734891006693,277.284085857419
927,2,7,15,15-Jul-0002 00:00:00,276.368812379345,275.452719985735,277.284904772955
958,2,8,15,15-Aug-0002 00:00:00,274.764718019218,272.390665825536,277.1387702129
989,2,9,15,15-Sep-0002 00:00:00,274.722904781432,272.486467524262,276.959342038602
1019,2,10,15,15-Oct-0002 00:00:00,275.757126399996,274.593006206933,276.921246593059
1050,2,11,15,15-Nov-0002 00:00:00,276.758433197122,276.469003447962,277.047862946283
1080,2,12,15,15-Dec-0002 00:00:00,277.39194871458,277.708130603416,277.075766825744
1111,3,1,15,15-Jan-0003 00:00:00,277.848269891913,278.527489835242,277.169049948584
1142,3,2,15,15-Feb-0003 00:00:00,278.226957773202,279.179298007288,277.274617539115
1170,3,3,15,15-Mar-0003 00:00:00,278.564460932359,279.817404586921,277.311517277798
1201,3,4,15,15-Apr-0003 00:00:00,278.800662871243,280.347656535803,277.253669206683
1231,3,5,15,15-May-0003 00:00:00,278.740655523088,280.247705349765,277.233605696412
1262,3,6,15,15-Jun-0003 00:00:00,278.004750502457,278.730153077094,277.27934792782
1292,3,7,15,15-Jul-0003 00:00:00,276.361930922383,275.445838528773,277.278023315993
1323,3,8,15,15-Aug-0003 00:00:00,274.756316469107,272.382264275425,277.130368662789
1354,3,9,15,15-Sep-0003 00:00:00,274.713547157208,272.477109900038,276.949984414378
1384,3,10,15,15-Oct-0003 00:00:00,275.747317305517,274.583197112454,276.91143749858
1415,3,11,15,15-Nov-0003 00:00:00,276.748617821069,276.459188071909,277.03804757023
1445,3,12,15,15-Dec-0003 00:00:00,277.382512830453,277.698694719288,277.066330941617
1476,4,1,15,15-Jan-0004 00:00:00,277.839539858034,278.518759801363,277.160319914705
1507,4,2,15,15-Feb-0004 00:00:00,278.219201825291,279.171542059377,277.266861591204
1536,4,3,15,15-Mar-0004 00:00:00,278.557901374062,279.810845028624,277.304957719501
1567,4,4,15,15-Apr-0004 00:00:00,278.795480869068,280.342474533628,277.248487204508
1597,4,5,15,15-May-0004 00:00:00,278.736990884628,280.244040711305,277.229941057952
1628,4,6,15,15-Jun-0004 00:00:00,278.002701676393,278.72810425103,277.277299101756
1658,4,7,15,15-Jul-0004 00:00:00,276.361554998479,275.445462604869,277.277647392089
1689,4,8,15,15-Aug-0004 00:00:00,274.757629178216,272.383576984534,277.131681371898
1720,4,9,15,15-Sep-0004 00:00:00,274.716522871266,272.480085614096,276.952960128436
1750,4,10,15,15-Oct-0004 00:00:00,275.751889037547,274.587768844484,276.91600923061
1781,4,11,15,15-Nov-0004 00:00:00,276.754677225179,276.465247476019,277.04410697434
1811,4,12,15,15-Dec-0004 00:00:00,277.389910201836,277.706092090671,277.073728313
1842,5,1,15,15-Jan-0005 00:00:00,277.848084132971,278.5273040763,277.168864189642
1873,5,2,15,15-Feb-0005 00:00:00,278.228661705663,279.181001939749,277.276321471576
1901,5,3,15,15-Mar-0005 00:00:00,278.568034276624,279.820977931186,277.315090622063
1932,5,4,15,15-Apr-0005 00:00:00,278.806064172409,280.353057836969,277.25907050785
1962,5,5,15,15-May-0005 00:00:00,278.747823522954,280.254873349631,277.240773696278
1993,5,6,15,15-Jun-0005 00:00:00,278.013604139525,278.739006714162,277.288201564888
2023,5,7,15,15-Jul-0005 00:00:00,276.372369331854,275.456276938244,277.288461725464
2054,5,8,15,15-Aug-0005 00:00:00,274.768218982887,272.394166789205,277.142271176569
2085,5,9,15,15-Sep-0005 00:00:00,274.726773303903,272.490336046733,276.963210561073
2115,5,10,15,15-Oct-0005 00:00:00,275.761706810436,274.597586617373,276.925827003499
2146,5,11,15,15-Nov-0005 00:00:00,276.763990606222,276.474560857062,277.053420355383
2176,5,12,15,15-Dec-0005 00:00:00,277.398669014552,277.714850903388,277.082487125716
2207,6,1,15,15-Jan-0006 00:00:00,277.856259756493,278.535479699822,277.177039813164
2238,6,2,15,15-Feb-0006 00:00:00,278.23624683233,279.188587066416,277.283906598243
2266,6,3,15,15-Mar-0006 00:00:00,278.575033673344,279.827977327906,277.322090018783
2297,6,4,15,15-Apr-0006 00:00:00,278.812482762559,280.359476427119,277.265489098
2327,6,5,15,15-May-0006 00:00:00,278.753665595891,280.260715422568,277.246615769215
2358,6,6,15,15-Jun-0006 00:00:00,278.018873350582,278.744275925219,277.293470775945
2388,6,7,15,15-Jul-0006 00:00:00,276.377068702346,275.460976308736,277.293161095956
2419,6,8,15,15-Aug-0006 00:00:00,274.772350900105,272.398298706423,277.146403093787
2450,6,9,15,15-Sep-0006 00:00:00,274.730339521119,272.493902263949,276.966776778289
2480,6,10,15,15-Oct-0006 00:00:00,275.764708446899,274.600588253836,276.928828639962
2511,6,11,15,15-Nov-0006 00:00:00,276.76642814716,276.476998398,277.055857896321
2541,6,12,15,15-Dec-0006 00:00:00,277.400542311173,277.716724200009,277.084360422337
2572,7,1,15,15-Jan-0007 00:00:00,277.857568025982,278.536787969311,277.178348082653
2603,7,2,15,15-Feb-0007 00:00:00,278.236988688334,279.18932892242,277.284648454247
2631,7,3,15,15-Mar-0007 00:00:00,278.575212666994,279.828156321556,277.322269012433
2662,7,4,15,15-Apr-0007 00:00:00,278.812119382151,280.359113046711,277.265125717592
2692,7,5,15,15-May-0007 00:00:00,278.752798839342,280.259848666019,277.245749012666
2723,7,6,15,15-Jun-0007 00:00:00,278.017560725432,278.742963300069,277.292158150795
2753,7,7,15,15-Jul-0007 00:00:00,276.375386225755,275.459293832145,277.291478619365
2784,7,8,15,15-Aug-0007 00:00:00,274.770393098856,272.396340905174,277.144445292538
2815,7,9,15,15-Sep-0007 00:00:00,274.728219431614,272.491782174444,276.964656688784
2845,7,10,15,15-Oct-0007 00:00:00,275.762557615164,274.598437422101,276.926677808227
2876,7,11,15,15-Nov-0007 00:00:00,276.76439662884,276.47496687968,277.053826378001
2906,7,12,15,15-Dec-0007 00:00:00,277.398798671536,277.714980560372,277.0826167827
2937,8,1,15,15-Jan-0008 00:00:00,277.856299339917,278.535519283246,277.177079396588
2968,8,2,15,15-Feb-0008 00:00:00,278.236400500856,279.188740734942,277.284060266769
2997,8,3,15,15-Mar-0008 00:00:00,278.575510745981,279.828454400543,277.32256709142
3028,8,4,15,15-Apr-0008 00:00:00,278.813460571756,280.360454236316,277.266466907197
3058,8,5,15,15-May-0008 00:00:00,278.755282755863,280.26233258254,277.248232929187
3089,8,6,15,15-Jun-0008 00:00:00,278.021229757309,278.746632331946,277.295827182672
3119,8,7,15,15-Jul-0008 00:00:00,276.380225533574,275.464133139964,277.296317927184
3150,8,8,15,15-Aug-0008 00:00:00,274.776330615344,272.402278421662,277.150382809026
3181,8,9,15,15-Sep-0008 00:00:00,274.735125861644,272.498688604474,276.971563118814
3211,8,10,15,15-Oct-0008 00:00:00,275.770246435751,274.606126242688,276.934366628814
3242,8,11,15,15-Nov-0008 00:00:00,276.772624089145,276.483194339985,277.062053838306
3272,8,12,15,15-Dec-0008 00:00:00,277.407263792861,277.723445681696,277.091081904025
3303,9,1,15,15-Jan-0009 00:00:00,277.864643915711,278.54386385904,277.185423972382
3334,9,2,15,15-Feb-0009 00:00:00,278.244209108772,279.196549342858,277.291868874685
3362,9,3,15,15-Mar-0009 00:00:00,278.582340426755,279.835284081317,277.329396772194
3393,9,4,15,15-Apr-0009 00:00:00,278.818943559054,280.365937223614,277.271949894494
3423,9,5,15,15-May-0009 00:00:00,278.759149111153,280.26619893783,277.252099284477
3454,9,6,15,15-Jun-0009 00:00:00,278.023307369864,278.748709944501,277.297904795227
3484,9,7,15,15-Jul-0009 00:00:00,276.380440120468,275.464347726858,277.296532514078
3515,9,8,15,15-Aug-0009 00:00:00,274.774705721458,272.400653527776,277.14875791514
3546,9,9,15,15-Sep-0009 00:00:00,274.731782859661,272.495345602491,276.968220116831
3576,9,10,15,15-Oct-0009 00:00:00,275.765404526156,274.601284333093,276.929524719219
3607,9,11,15,15-Nov-0009 00:00:00,276.766600300229,276.477170551069,277.05603004939
3637,9,12,15,15-Dec-0009 00:00:00,277.400472980717,277.716654869552,277.084291091881
3668,10,1,15,15-Jan-0010 00:00:00,277.857598764236,278.536818707565,277.178378820907
3699,10,2,15,15-Feb-0010 00:00:00,278.237520129653,279.18986036374,277.285179895567
3727,10,3,15,15-Mar-0010 00:00:00,278.576684326831,279.829627981393,277.32374067227
3758,10,4,15,15-Apr-0010 00:00:00,278.814919922915,280.361913587475,277.267926258355
3788,10,5,15,15-May-0010 00:00:00,278.757238999579,280.264288826256,277.250189172903
3819,10,6,15,15-Jun-0010 00:00:00,278.023873305377,278.749275880014,277.29847073074
3849,10,7,15,15-Jul-0010 00:00:00,276.383726087333,275.467633693723,277.299818480943
3880,10,8,15,15-Aug-0010 00:00:00,274.780837165683,272.406784972001,277.154889359365
3911,10,9,15,15-Sep-0010 00:00:00,274.740766688995,272.504329431825,276.977203946165
3941,10,10,15,15-Oct-0010 00:00:00,275.777129110092,274.613008917029,276.941249303155
3972,10,11,15,15-Nov-0010 00:00:00,276.780835470002,276.491405720842,277.070265219163
4002,10,12,15,15-Dec-0010 00:00:00,277.416870029304,277.733051918139,277.100688140468
4033,11,1,15,15-Jan-0011 00:00:00,277.875690446357,278.554910389686,277.196470503028
4064,11,2,15,15-Feb-0011 00:00:00,278.256720661772,279.209060895858,277.304380427685
4092,11,3,15,15-Mar-0011 00:00:00,278.596312915199,279.849256569761,277.343369260638
4123,11,4,15,15-Apr-0011 00:00:00,278.834340587613,280.381334252173,277.287346923053
4153,11,5,15,15-May-0011 00:00:00,278.775912942388,280.282962769065,277.268863115712
4184,11,6,15,15-Jun-0011 00:00:00,278.041359034049,278.766761608686,277.315956459412
4214,11,7,15,15-Jul-0011 00:00:00,276.399679415587,275.483587021977,277.315771809197
4245,11,8,15,15-Aug-0011 00:00:00,274.795011213206,272.420959019524,277.169063406888
4276,11,9,15,15-Sep-0011 00:00:00,274.753011881444,272.516574624274,276.989449138614
4306,11,10,15,15-Oct-0011 00:00:00,275.787393179092,274.623272986029,276.951513372155
4337,11,11,15,15-Nov-0011 00:00:00,276.789163453145,276.499733703985,277.078593202306
4367,11,12,15,15-Dec-0011 00:00:00,277.423404270153,277.739586158989,277.107222381317
4398,12,1,15,15-Jan-0012 00:00:00,277.880670594442,278.559890537771,277.201450651113
4429,12,2,15,15-Feb-0012 00:00:00,278.260483672592,279.212823906678,277.308143438505
4458,12,3,15,15-Mar-0012 00:00:00,278.599280471351,279.852224125913,277.34633681679
4489,12,4,15,15-Apr-0012 00:00:00,278.836918386669,280.383912051229,277.28992472211
4519,12,5,15,15-May-0012 00:00:00,278.778441574686,280.285491401363,277.27139174801
4550,12,6,15,15-Jun-0012 00:00:00,278.044113611393,278.76951618603,277.318711036756
4580,12,7,15,15-Jul-0012 00:00:00,276.402869571253,275.486777177643,277.318961964863
4611,12,8,15,15-Aug-0012 00:00:00,274.798781101936,272.424728908254,277.172833295618
4642,12,9,15,15-Sep-0012 00:00:00,274.75744017945,272.52100292228,276.99387743662
4672,12,10,15,15-Oct-0012 00:00:00,275.792493084056,274.628372890993,276.956613277119
4703,12,11,15,15-Nov-0012 00:00:00,276.794882684218,276.505452935058,277.084312433379
4733,12,12,15,15-Dec-0012 00:00:00,277.429625067954,277.745806956789,277.113443179118
4764,13,1,15,15-Jan-0013 00:00:00,277.887209721059,278.566429664388,277.20798977773
4795,13,2,15,15-Feb-0013 00:00:00,278.267092411583,279.219432645669,277.314752177496
